PERSON_ID,DESCRIPTION,SEASON
76024,Olympic Gold Medal,1984
246,All-Rookie Team1,1987
201,J. Walter Kennedy Citizenship,1995
288,All-Rookie Team1,1987
270,All-Defensive Team2,1992
270,All-Defensive Team2,1993
270,All-Defensive Team2,1994
270,All-Defensive Team2,1995
270,NBA All-Star,1993
270,NBA Champion,1990
270,NBA Champion,1991
270,NBA Champion,1992
270,NBA Champion,2000
77054,NBA Champion,1990
349,All-Rookie Team1,1987
349,NBA Rookie of the Year,1987
349,NBA Sporting News Rookie of the Year,1987
349,NBA All-Star,1988
134,All-NBA2,1988
134,All-NBA2,1989
134,All-NBA2,1990
134,All-NBA3,1991
134,All-NBA2,1993
134,J. Walter Kennedy Citizenship,1990
134,NBA Most Improved Player,1988
134,NBA All-Star,1989
134,NBA All-Star,1990
134,NBA All-Star,1993
77384,NBA All-Star,1991
365,All-Defensive Team2,1994
365,All-Defensive Team2,1995
365,All-Rookie Team1,1987
397,All-NBA3,1994
397,All-NBA3,1995
397,All-NBA3,1997
397,Hall of Fame Inductee,2012
397,J. Walter Kennedy Citizenship,2003
397,Olympic Gold Medal,1996
397,NBA All-Star,1989
397,NBA All-Star,1994
397,NBA All-Star,1995
397,NBA All-Star,1997
397,NBA All-Star,1999
937,All-Defensive Team2,1990
937,All-Defensive Team1,1991
937,All-Defensive Team1,1992
937,All-Defensive Team1,1993
937,All-Defensive Team1,1994
937,All-Defensive Team1,1995
937,All-Defensive Team1,1996
937,All-Defensive Team1,1997
937,All-Defensive Team1,1998
937,All-Defensive Team2,1999
937,All-NBA2,1991
937,All-NBA3,1992
937,All-NBA1,1993
937,All-NBA1,1994
937,All-NBA1,1995
937,All-NBA2,1996
937,All-NBA3,1997
937,Hall of Fame Inductee,2010
937,NBA All-Star Most Valuable Player,1993
937,Olympic Gold Medal,1992
937,Olympic Gold Medal,1996
937,NBA All-Star,1989
937,NBA All-Star,1991
937,NBA All-Star,1992
937,NBA All-Star,1993
937,NBA All-Star,1994
937,NBA All-Star,1995
937,NBA All-Star,1996
937,NBA Champion,1990
937,NBA Champion,1991
937,NBA Champion,1992
937,NBA Champion,1995
937,NBA Champion,1996
937,NBA Champion,1997
181,All-Rookie Team1,1987
181,NBA Champion,1993
181,NBA Champion,1994
78429,NBA Champion,1987
335,All-Rookie Team1,1988
335,Olympic Bronze Medal,1988
418,NBA Champion,1993
364,All-Rookie Team2,1988
76552,NBA Champion,1988
236,All-Rookie Team2,1988
81,Olympic Bronze Medal,1988
765,All-Rookie Team1,1988
765,NBA Sportsmanship,1998
765,Olympic Bronze Medal,1988
765,NBA All-Star,1990
422,NBA Sportsmanship,1997
422,NBA Champion,1998
70,NBA Champion,1995
70,NBA Champion,1996
70,NBA Champion,1997
70,NBA Champion,1998
70,NBA Champion,2002
105,All-Defensive Team2,1990
105,All-Defensive Team2,1992
105,Olympic Bronze Medal,1988
105,NBA All-Star,1991
105,NBA All-Star,1992
105,NBA All-Star,1994
330,NBA Sixth Man of the Year,1997
330,Olympic Bronze Medal,1988
330,NBA All-Star,1992
330,NBA All-Star,1993
137,NBA Champion,1993
137,NBA Champion,1994
356,All-Rookie Team2,1988
77771,Olympic Appearance,1988
77771,Olympic Appearance,1992
77771,Olympic Appearance,1996
77771,Olympic Appearance,2004
781,NBA Champion,1990
781,NBA Champion,1991
781,NBA Champion,1992
781,NBA Champion,1998
782,All-NBA2,1993
782,All-NBA2,1994
782,All-NBA3,1995
782,All-NBA2,1996
782,All-NBA3,1997
782,All-Rookie Team1,1988
782,Hall of Fame Inductee,2014
782,NBA All-Star Most Valuable Player,1994
782,NBA Rookie of the Year,1988
782,NBA Sporting News Rookie of the Year,1988
782,Olympic Bronze Medal,1988
782,Olympic Gold Medal,1996
782,NBA All-Star,1993
782,NBA All-Star,1994
782,NBA All-Star,1995
782,NBA All-Star,1996
782,NBA All-Star,1997
782,NBA All-Star,1992
782,NBA Champion,2001
938,NBA Most Improved Player,1989
216,All-Rookie Team2,1988
216,NBA Champion,1999
216,NBA Champion,2000
216,NBA Champion,2001
22,All-Rookie Team1,1988
22,NBA All-Star,1997
317,All-Defensive Team2,1992
317,NBA Sixth Man of the Year,1996
317,NBA All-Star,1993
393,All-NBA2,1997
393,All-Rookie Team2,1988
52,All-Defensive Team2,1991
52,NBA Champion,1988
769,NBA All-Star,1993
769,NBA Champion,1990
769,NBA Champion,1991
769,NBA Champion,1992
344,NBA Most Improved Player,1994
344,NBA All-Star,1994
302,All-Defensive Team1,1993
302,All-Defensive Team1,1994
302,All-Defensive Team2,1995
302,All-Defensive Team2,1996
302,All-Defensive Team2,1997
302,All-Defensive Team2,1998
302,NBA All-Star,1993
359,NBA Champion,1994
124,All-Rookie Team1,1989
124,J. Walter Kennedy Citizenship,1999
124,Olympic Silver Medal,1988
124,NBA All-Star,2000
428,All-Rookie Team1,1989
898,All-Rookie Team2,1989
251,All-Rookie Team2,1989
251,NBA All-Star,1992
251,NBA All-Star,1995
251,NBA Champion,1998
442,NBA Most Improved Player,1991
896,All-NBA2,1991
896,All-NBA3,1992
896,All-NBA1,1996
896,All-NBA2,1997
896,All-NBA2,1998
896,All-Rookie Team1,1989
896,Olympic Gold Medal,2000
896,NBA All-Star,1996
896,NBA All-Star,1997
896,NBA All-Star,1990
896,NBA All-Star,1991
896,NBA All-Star,1992
1114,NBA Champion,1998
77170,Hall of Fame Inductee,1990
431,All-NBA2,1993
431,All-NBA2,1994
431,All-NBA2,1995
431,NBA All-Star,1997
431,NBA All-Star,1992
431,NBA All-Star,1993
431,NBA All-Star,1994
431,NBA All-Star,1995
431,NBA All-Star,1996
351,All-Rookie Team2,1989
351,NBA Champion,1990
351,NBA Champion,1991
351,NBA Champion,1992
36,Hall of Fame Inductee,2014
36,Olympic Bronze Medal,1992
36,Olympic Bronze Medal,1996
36,Olympic Gold Medal,1988
193,All-Defensive Team2,1996
193,All-NBA3,1996
193,NBA Sixth Man of the Year,1994
193,NBA All-Star,2000
1097,Olympic Silver Medal,1988
77845,All-NBA3,1992
77845,Hall of Fame Inductee,2002
77845,Olympic Bronze Medal,1984
77845,Olympic Silver Medal,1988
