"","Id","Player","Height","Weight","S","Pos","Tm","G","MP","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","Year","Age","PER","ORB.","DRB.","TRB.","AST.","STL.","BLK.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","PTS","TRB","FT.","TS.","X3PAr","FTr","FG.","eFG.","X2P.","X3P.","TOV.","AWD","Pos.simple"
"50","1627749","DEJOUNTE MURRAY",195.072,81,1,"PG","SAS",38,322,41,93,9,23,21,30,6,36,48,8,6,38,29,2017,20,9.6,2.2,12.4,7.4,22.6,1.3,1.5,23.5,-0.4,0.5,0,0.004,-4.6,-0.2,-4.8,-0.2,50,116,130,42,0.7,0.503095975232198,0.198275862068966,0.258620689655172,0.431034482758621,0.469827586206897,0.440860215053763,0.391304347826087,0.227272727272727,"1","PG"
"51","1627750","JAMAL MURRAY",195.072,96.75,1,"SG","DEN",82,1764,180,386,115,344,106,120,41,173,170,52,24,113,124,2017,19,11.9,2.6,10.7,6.7,14,1.4,1.1,21.6,0.6,0.7,1.4,0.037,-0.5,-2.1,-2.6,-0.3,295,730,811,214,0.883333333333333,0.518012263668881,0.471232876712329,0.164383561643836,0.404109589041096,0.482876712328767,0.466321243523316,0.334302325581395,0.12614422862246,"0","SG"
"52","1626254","MAURICE NDOUR",210.312,90,1,"PF","NYK",32,331,38,79,1,7,19,26,22,42,8,15,8,12,30,2017,24,11.3,7.1,13.7,10.4,3.5,2.3,2,14.3,0.1,0.3,0.4,0.059,-3.5,-0.3,-3.8,-0.1,39,86,98,64,0.730769230769231,0.502873563218391,0.0813953488372093,0.302325581395349,0.453488372093023,0.459302325581395,0.481012658227848,0.142857142857143,0.109649122807018,"0","PF"
"53","1627777","GEORGES NIANG",204.216,103.5,1,"PF","IND",23,93,8,24,1,12,2,2,2,15,5,3,0,5,6,2017,23,0.1,2.4,17.9,10.3,7.5,1.6,0,20.2,-0.4,0.1,-0.3,-0.168,-9.9,-2.2,-12.1,-0.2,9,36,21,17,1,0.28470715835141,0.333333333333333,0.0555555555555556,0.25,0.263888888888889,0.333333333333333,0.0833333333333333,0.119388729703916,"0","PF"
"54","1628021","DAVID NWABA",198.12,98.55,1,"SG","LAL",20,397,46,76,1,5,25,39,16,46,14,13,7,11,36,2017,24,12.1,4.3,13.1,8.5,5,1.6,1.4,11.8,0.6,0.2,0.7,0.09,-1.7,-0.3,-2,0,47,81,120,62,0.641025641025641,0.611246943765281,0.0617283950617284,0.481481481481481,0.580246913580247,0.58641975308642,0.605263157894737,0.2,0.100769512641993,"0","SG"
"55","1627849","DANIEL OCHEFU",186.2328,110.25,1,"C","WAS",19,75,12,27,0,0,0,2,5,17,3,2,0,3,17,2017,23,6.6,7.6,25.4,16.5,5.8,1.3,0,18,-0.1,0.1,0,0.005,-6.5,-1.9,-8.4,-0.1,12,27,24,22,0,0.430416068866571,0,0.0740740740740741,0.444444444444444,0.444444444444444,0.444444444444444,0,0.0971502590673575,"0","C"
"56","1627778","CHINANU ONUAKU",185.928,110.25,1,"C","HOU",5,52,5,7,0,0,4,4,2,8,3,3,1,4,6,2017,20,12.3,4.2,16.8,10.5,7.8,2.8,1.6,10.4,0.1,0.1,0.1,0.123,-2.4,1.8,-0.6,0,5,7,14,10,1,0.799086757990868,0,0.571428571428571,0.714285714285714,0.714285714285714,0.714285714285714,0,0.313479623824451,"0","C"
"57","1627834","GEORGIOS PAPAGIANNIS",216.408,108,1,"C","SAC",22,355,56,100,0,2,12,14,24,62,20,3,17,24,44,2017,19,12.7,7.9,19.9,14,9,0.4,4.4,16.9,0.1,0.3,0.4,0.058,-3.5,0.8,-2.7,-0.1,56,102,124,86,0.857142857142857,0.573224852071006,0.0196078431372549,0.137254901960784,0.549019607843137,0.549019607843137,0.56,0,0.181598062953995,"0","C"
"58","1627850","MARSHALL PLUMLEE",213.36,112.5,1,"C","NYK",21,170,16,30,0,0,8,19,23,28,10,4,4,12,23,2017,24,10.9,14.5,17.8,16.2,8.1,1.2,1.9,12.8,0,0.1,0.2,0.048,-2.9,0.1,-2.8,0,16,30,40,51,0.421052631578947,0.521376433785193,0,0.633333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0,0.238284352660842,"0","C"
"59","1627751","JAKOB POELTL",213.36,117,1,"C","TOR",54,626,67,115,0,0,31,57,78,87,12,17,20,29,113,2017,21,12.2,14.1,15.7,14.9,2.7,1.4,2.8,12.1,0.9,0.7,1.6,0.125,-1.2,0.5,-0.7,0.2,67,115,165,165,0.543859649122807,0.58894917190177,0,0.495652173913044,0.582608695652174,0.582608695652174,0.582608695652174,0,0.171516441920984,"0","C"
